Residuals - Global Payments - TSYS (June 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group,Reward Program,Incentco Flat Rate for Rewards (Monthly),Basis Points for Rewards (Monthly) 
5436845560030586,"ADULT AND GERIATRIC CEN",26,1101.20,55.89,5.59,50.30,4.57,0.00,0.00,08/18/2023,"CoCard 0827",,,
5436845560052655,"BEDFORD CAMERA AND VIDE",988,144874.29,461.98,46.20,415.78,0.29,0.00,0.00,09/22/2023,"CoCard 0827",,,
5436845560052671,"BEDFORD CAMERA AND VIDE",1110,195232.63,589.44,58.94,530.50,0.27,0.00,0.00,09/20/2023,"CoCard 0827",,,
5436845560052697,"BEDFORD CAMERA AND VIDE",743,207485.76,542.71,40.77,501.94,0.24,0.00,0.00,09/22/2023,"CoCard 0827",,,
5436845560052705,"BEDFORD CAMERA AND VIDE",1166,335258.95,1070.04,93.50,976.54,0.29,0.00,0.00,09/20/2023,"CoCard 0827",,,
5436845560052739,"BEDFORD CAMERA AND VIDE",769,132390.82,398.65,39.87,358.78,0.27,0.00,0.00,09/20/2023,"CoCard 0827",,,
5436845560052754,"BEDFORD CAMERA AND VIDE",0,0.00,20.70,2.07,18.63,0.00,0.00,0.00,09/20/2023,"CoCard 0827",,,
5436845560166422,"CORRIDOR ENDODONTICS",73,29868.76,299.03,29.90,269.13,0.90,0.00,0.00,03/07/2024,"CoCard 0827",,,
5436845560166414,"CORRIDOR ENDODONTICS",196,57140.88,528.67,52.87,475.80,0.83,0.00,0.00,03/07/2024,"CoCard 0827",,,
5436845560124900,"CORRIDOR ENDODONTICS LL",268,109412.99,947.30,94.73,852.57,0.78,0.00,0.00,01/10/2024,"CoCard 0827",,,
5436845559813091,"DREAMLINE MFG INC",24,31345.03,49.24,4.92,44.32,0.14,0.00,0.00,10/11/2022,"CoCard 0827",,,
5436845560000456,"EDWARD G MACKAY LARGO",106,19742.96,164.53,16.45,148.08,0.75,0.00,0.00,07/24/2023,"CoCard 0827",,,
5436845560000381,"EDWARD G MACKAY MD ASSO",261,85010.71,567.04,56.70,510.34,0.60,0.00,0.00,07/24/2023,"CoCard 0827",,,
5436845560000514,"EDWARD G MACKAY ST PETE",103,25600.52,199.47,19.95,179.52,0.70,0.00,0.00,07/24/2023,"CoCard 0827",,,
5436845559568000,GYROTONIC,26,140280.19,883.29,88.33,794.96,0.57,0.00,0.00,10/12/2021,"CoCard 0827",,,
5436845559915896,"MANNE FOUNDATION HOMELE",2,10000.00,49.09,4.91,44.18,0.44,0.00,0.00,03/15/2023,"CoCard 0827",,,
5436845559997043,"NATURES MARKET AND RV P",1111,43495.88,550.99,55.10,495.89,1.14,0.00,0.00,06/29/2023,"CoCard 0827",,,
