Residuals - Micamp Solutions (June 2025)

Merchant ID,Merchant,Transactions,Sales Amount,Income,Expenses,Net,BPS,%,Agent Net,Approval Date,Group 
820100009480,"ARKANSAS USA WRESTLING",0,0.00,124.95,113.72,11.23,0.00,0.00,0.00,03/29/2024,"CoCard 0827"
498434550881,"BILLY CLARK BAIL BONDS",0,0.00,149.95,113.23,36.72,0.00,0.00,0.00,02/09/2024,"CoCard 0827"
498431863881,"DEBOARD ELECTRONICS",42,27709.36,674.99,625.91,49.08,0.18,0.00,0.00,01/17/2024,"CoCard 0827"
498459404881,"DIGITAL TECHNOLOGY GROUP",408,299152.40,7584.53,7476.62,107.91,0.04,0.00,0.00,09/05/2024,"CoCard 0914"
498792480887,"ENCORE AT LEWIS RANCH- E",0,0.00,125.01,110.74,14.27,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
498792481885,"ENCORE AT LEWIS RANCH- O",0,0.00,125.01,110.74,14.27,0.00,0.00,0.00,02/26/2024,"CoCard 0827"
815209580886,"EOI DIRECT",5113,419726.80,10937.41,10434.92,502.49,0.12,0.00,0.00,01/17/2025,"CoCard 0827"
498431789888,"F&B COSMETICS LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/17/2024,"CoCard 0827"
820100010520,"FRANCESCO SWEETS",0,0.00,0.00,0.44,-0.44,0.00,0.00,0.00,04/23/2024,"CoCard 0827"
498450581885,"GALCO INDUSTRIAL ELECTRO",7068,3394348.00,63624.31,63048.74,575.57,0.02,0.00,0.00,06/21/2024,"CoCard 0827"
498433226889,"H&M DISTRIBUTION LLC CLOSED",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,01/29/2024,"CoCard 0827"
820100008433,"HWY 5 AUTO SALVAGE",101,13007.08,765.33,448.37,316.96,2.44,0.00,0.00,03/14/2024,"CoCard 0827"
820100008664,"ISLAND WOMENS HEALTH",0,0.00,124.95,107.30,17.65,0.00,0.00,0.00,03/19/2024,"CoCard 0827"
820100010033,"ISLAND WOMENS HEALTH",6,863.64,158.09,134.00,24.09,2.79,0.00,0.00,04/14/2024,"CoCard 0827"
529808620113639,"KAYAK KINGS OF KEY WEST LLC",0,0.00,34.99,16.28,18.71,0.00,0.00,0.00,11/14/2024,"CoCard 0827"
529808620200584,"KEY WEST SCREAMING LINES CHARTER",10,5956.41,263.49,143.94,119.55,2.01,0.00,0.00,03/12/2024,"CoCard 0827"
820100031831,"M2 EQUIPMENT AND RENTALS INC",0,0.00,0.00,1.30,-1.30,0.00,0.00,0.00,07/24/2025,"CoCard 0827"
820100008276,"MCCORMICK FAMILY DENTISTRY",177,31305.42,1031.82,747.89,283.93,0.91,0.00,0.00,03/12/2024,"CoCard 0827"
820100005272,"MEADOW CDJR",0,0.00,124.95,107.30,17.65,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794241881,"MEADOWS CDJR",83,56513.54,1176.92,820.12,356.80,0.63,0.00,0.00,05/14/2024,"CoCard 0827"
820100005306,"MEADOWS CHEVROLET",0,0.00,124.95,109.96,14.99,0.00,0.00,0.00,01/23/2024,"CoCard 0827"
498794240883,"MEADOWS CHEVROLET",106,29038.84,791.06,631.82,159.24,0.55,0.00,0.00,05/14/2024,"CoCard 0827"
