Created	Legal Name	DBA	Partner Branch Number	Status	Status Category	Status Age	Sales Reps	Assigned Users	Existing MID	Current Processor	Partner Name	Email	Email	Contact Email	Updated	Contact	Contact Name	Contact Phone		
4/29/23 5:20 AM		Manne Foundation Homeless Prevention	4620	Merchant Is Live	Boarding	4/29/23 5:20 AM	Troy Esentan, HBS Partner 0827, C2FS Partner 0827, Tracer CoCard, Joy West 0827	Troy Esentan, HBS Partner 0827, C2FS Partner 0827, Tracer CoCard, Christy G Milton - 0827, Joy West 0827	5436845559915896	Global Payments - TSYS	Michelle Sweet	BOBMANNE3@GMAIL.COM	BOBMANNE3@GMAIL.COM	BOBMANNE3@GMAIL.COM	11/6/24 8:41 AM	ROBERT MANNE	ROBERT MANNE	954-668-8988		
4/30/23 4:12 AM		JT POWER WASH	1110	Merchant Is Live	Boarding	4/30/23 4:12 AM	Tracer CoCard, Emma Barre, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Emma Barre, HBS Partner 0827, C2FS Partner 0827	5436845559934293	Global Payments - TSYS	Jami Boan	ACTIVATIONS@XPRESS-PAY.COM	ACTIVATIONS@XPRESS-PAY.COM	ACTIVATIONS@XPRESS-PAY.COM	11/6/24 8:41 AM	JEROME TRAMBLE	JEROME TRAMBLE	+15019524730		
5/26/23 9:12 AM		CLIENT LEVEL EXPENSE		Merchant Is Live	Boarding	5/26/23 9:12 AM	Tracer CoCard	Tracer CoCard, Christy G Milton - 0827	15715800100011066	Fiserv Omaha					7/17/23 2:29 PM					
5/30/23 8:00 AM	HIRAM SHADDOX HEALTH AND REHAB	HIRAM SHADDOX HEALTH AND REHAB		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318699	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	MOUNTAIN MEADOWS HEALTH AND REHABILITATION	MOUNTAIN MEADOWS HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318764	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	PIONEER THERAPY AND LIVING	PIONEER THERAPY AND LIVING		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318855	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	BAILEY CREEK HEALTH & REHAB	BAILEY CREEK HEALTH & REHAB		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318202	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	BIRCH POINTE HEALTH AND REHABILITATION	BIRCH POINTE HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318269	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	EDGEWOOD HEALTH AND REHAB	EDGEWOOD HEALTH AND REHAB		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318509	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	OAK RIDGE HEALTH AND REHABILITATION	OAK RIDGE HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6.588E+15	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	AMBERWOOD HEALTH AND REHABILITATION	AMBERWOOD HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6.588E+15	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	CHAPEL WOODS HEALTH AND REHABILITATION	CHAPEL WOODS HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6.588E+15	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	SOUTHFORK RIVER THERAPY AND LIVING	SOUTHFORK RIVER THERAPY AND LIVING		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002329712	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATION	THE CROSSING AT RIVERSIDE HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002329894	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	NORTH HILLS LIFE CARE AND REHAB	NORTH HILLS LIFE CARE AND REHAB		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318806	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	THE MAPLES AT HAR-BER MEADOWS	THE MAPLES AT HAR-BER MEADOWS		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330272	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	SILVER OAKS HEALTH AND REHABILITATION	SILVER OAKS HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6.588E+15	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	THE LAKES AT MAUMELLE HEALTH AND REHABILITATION	THE LAKES AT MAUMELLE HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330264	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:00 AM	WINDCREST HEALTH AND REHAB, INC.	WINDCREST HEALTH AND REHAB, INC.		Merchant Is Live	Boarding	5/30/23 8:00 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330405	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	EAGLECREST NURSING AND REHAB	EAGLECREST NURSING AND REHAB		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318467	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	EVERGREEN LIVING CENTER AT STAGECOACH	EVERGREEN LIVING CENTER AT STAGECOACH		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318533	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	ALCOA PINES HEALTH AND REHABILITATION	ALCOA PINES HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002315901	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	GASSVILLE THERAPY AND LIVING	GASSVILLE THERAPY AND LIVING		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318558	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	SOUTHRIDGE VILLAGE NURSING AND REHAB	SOUTHRIDGE VILLAGE NURSING AND REHAB		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002329753	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	TIMBERLANE HEALTH & REHABILITATION	TIMBERLANE HEALTH & REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6.588E+15	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:01 AM	KATHERINE'S PLACE AT WEDINGTON	KATHERINE'S PLACE AT WEDINGTON		Merchant Is Live	Boarding	5/30/23 8:01 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318723	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	RECTOR NURSING AND REHAB	RECTOR NURSING AND REHAB		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318871	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	ST. ELIZABETH'S PLACE	ST. ELIZABETH'S PLACE		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002329852	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	THE MAPLES HEALTH AND REHABILITATION	THE MAPLES HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330322	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	JAMES RIVER NURSING AND REHABILITATION	JAMES RIVER NURSING AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002341899	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	WESTWOOD HEALTH & REHAB	WESTWOOD HEALTH & REHAB		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330389	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:02 AM	AQUA VISTA POOL & SPA LLC	AQUA VISTA POOL & SPA LLC		Merchant Is Live	Boarding	5/30/23 8:02 AM	Tracer CoCard, Jacob Woodaz, C2FS Partner 0827, Cody Burnell 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, C2FS Partner 0827, Cody Burnell 0827	6588000002347672	Clearent			AQUAVISTAPOOLANDSPA@GMAIL.COM		10/16/23 5:32 PM					
5/30/23 8:03 AM	HATTON-GILLETE DOUGLAS POST 424 VETERANS OF FOREIGN WARS OF THE UNITED STATES INC	HATTON-GILLETE DOUGLAS POST 424 VETERANS OF FOREIGN WARS OF THE UNITED STATES INC		Merchant Is Live	Boarding	5/30/23 8:03 AM	Tracer CoCard, Jacob Woodaz, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, C2FS Partner 0827	6588000002359776	Clearent			VCOLL1@HOTMAIL.COM		10/16/23 5:32 PM					
5/30/23 8:03 AM	CHAMBERS HEALTH AND REHABILITATION	CHAMBERS HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:03 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318392	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:03 AM	RIDGECREST HEALTH AND REHABILITATION	RIDGECREST HEALTH AND REHABILITATION		Merchant Is Live	Boarding	5/30/23 8:03 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318897	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:03 AM	MAGNOLIA SQUARE NURSING AND REHAB	MAGNOLIA SQUARE NURSING AND REHAB		Merchant Is Live	Boarding	5/30/23 8:03 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318749	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	CARE MANOR NURSING AND REHAB	CARE MANOR NURSING AND REHAB		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318343	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	CORNING THERAPY AND LIVING CENTER	CORNING THERAPY AND LIVING CENTER		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318434	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	SPRING CREEK HEALTH & REHAB	SPRING CREEK HEALTH & REHAB		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002329811	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	TWIN LAKES THERAPY AND LIVING	TWIN LAKES THERAPY AND LIVING		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002330363	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	BEEBE RETIREMENT CENTER	BEEBE RETIREMENT CENTER		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318244	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
5/30/23 8:04 AM	HERITAGE LIVING CENTER	HERITAGE LIVING CENTER		Merchant Is Live	Boarding	5/30/23 8:04 AM	Tracer CoCard, Cody Burnell 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, C2FS Partner 0827	6588000002318624	Clearent			CASEY@RELIANCEHEALTHCARE.COM		10/16/23 5:32 PM					
6/5/23 8:20 AM	BOWEN BROTHERS STORAGE	BOWEN BROTHERS STORAGE	4212	Merchant Is Live	Boarding	6/5/23 8:20 AM	Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	6588000002368256	Clearent	Cindy Carpenter		LBOWNOLE@GMAIL.COM		10/23/23 1:31 PM					
6/14/23 8:24 AM	GREAT EVENTS CATERING	GREAT EVENTS CATERING	4007	Merchant Is Live	Boarding	6/14/23 8:24 AM	Tracer CoCard, Cody Burnell 0827, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Cody Burnell 0827, HBS Partner 0827, C2FS Partner 0827	6588000002372241	Clearent	Ingrid Phipps		JULIE@GREATEVENTSCATERING.COM		11/6/24 8:41 AM					
6/14/23 8:25 AM	ACUNTO LANDSCAPE & DESIGN	ACUNTO LANDSCAPE & DESIGN	4011	Merchant Is Live	Boarding	6/14/23 8:25 AM	Tracer CoCard, Troy Esentan, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Troy Esentan, HBS Partner 0827, C2FS Partner 0827	6588000002375111	Clearent	Alessandra Panella		JACUNTO@COMCAST.NET		11/28/23 12:15 PM					
7/1/23 4:13 AM		NATURES MARKET AND RV P	1305	Merchant Is Live	Boarding	7/1/23 4:13 AM	Tracer CoCard, Emma Barre, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Emma Barre, HBS Partner 0827, C2FS Partner 0827	5436845559997043	Global Payments - TSYS	Rickie Westbrook	MILUSHUGHEY@GMAIL.COM	MILUSHUGHEY@GMAIL.COM	MILUSHUGHEY@GMAIL.COM	11/6/24 8:41 AM	LENNIE FOREE	LENNIE FOREE	870-613-5631		
7/15/23 8:34 AM	TRUE BUILDERS INC.	TRUE BUILDERS INC.	4510	Merchant Is Live	Boarding	7/15/23 8:34 AM	Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	6588000002387512	Clearent	Shirley Garrett		DEBBIE@TRUE-BUILDERS.COM		10/23/23 1:42 PM					
7/21/23 8:07 AM	SOLOMON CENTER	SOLOMON CENTER	1210	Merchant Is Live	Boarding	7/21/23 8:07 AM	Tracer CoCard, Cody Burnell 0827, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Cody Burnell 0827, HBS Partner 0827, C2FS Partner 0827	6588000002401479	Clearent	Julie Wagner		BLTHOMAS83@GMAIL.COM		10/24/23 11:14 AM					
7/26/23 4:12 AM		EDWARD G MACKAY MD ASSO	4704	Merchant Is Live	Boarding	7/26/23 4:12 AM	Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	556000038100	TSYS	Theresa Clark	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	7/16/25 10:56 AM	KRISTI BRUDER	KRISTI BRUDER	+17277813792		
7/26/23 4:12 AM		EDWARD G MACKAY LARGO	4704	Merchant Is Live	Boarding	7/26/23 4:12 AM	Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	556000045600	TSYS	Theresa Clark	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	7/16/25 10:55 AM	EDWARD MACKAY	EDWARD MACKAY	+17277813792		
7/26/23 4:12 AM		EDWARD G MACKAY ST PETE	4704	Merchant Is Live	Boarding	7/26/23 4:12 AM	Tracer CoCard, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	Tracer CoCard, Christy G Milton - 0827, Jacob Woodaz, HBS Partner 0827, C2FS Partner 0827	556000051400	TSYS	Theresa Clark	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	KBRUDER@DRMACKAY.COM	7/16/25 10:56 AM	KRISTI BRUDER	KRISTI BRUDER	+17275272888		
7/26/23 8:27 AM	AISD DICK BIVINS STADIUM	AISD DICK BIVINS STADIUM	2006	Merchant Is Live	Boarding	7/26/23 8:27 AM	Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	6588000002406122	Clearent			DANIEL.WEST@AMAISD.ORG		10/23/23 1:45 PM					
7/26/23 8:27 AM	ATHLETIC BUILDING AMARILLO ISD	ATHLETIC BUILDING AMARILLO ISD	2006	Merchant Is Live	Boarding	7/26/23 8:27 AM	Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	6588000002406882	Clearent			DANIEL.WEST@AMAISD.ORG		10/23/23 1:45 PM					
7/26/23 8:27 AM	AMARILLO HIGH SCHOOL AMARILLO ISD	AMARILLO HIGH SCHOOL AMARILLO ISD	2006	Merchant Is Live	Boarding	7/26/23 8:27 AM	Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	6588000002406908	Clearent			DANIEL.WEST@AMAISD.ORG		10/23/23 1:46 PM					
7/26/23 8:27 AM	TASCOSA HIGH AMARILLO ISD	TASCOSA HIGH AMARILLO ISD	2006	Merchant Is Live	Boarding	7/26/23 8:27 AM	Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	Christy G Milton - 0827, Tracer CoCard, Cail Brewer 0827, HBS Partner 0827, C2FS Partner 0827	6588000002406833	Clearent			DANIEL.WEST@AMAISD.ORG		10/23/23 1:46 PM					
