Merchant ID	Merchant	Transactions	Sales Amount	Net	BPS	%	Agent Net	Branch ID																	
6588000002455723	A-1 CHIMNEY PRO, INC.	0	0.00	25.83	0.00	35	9.04	1001																	
6588000002375111	Acunto Landscape & Design	17	4641.07	123.47	2.66	35	43.21	4011																	
6588000002406122	AISD DIck Bivins Stadium	689	11995.11	375.52	3.13	35	131.43	2006																	
6588000002578847	ALL FIRE SERVICES, INC	75	128103.04	292.47	0.23	35	102.36	4606																	
6588000002730778	ALL RITE PAVING CONTRACTORS	6	16334.00	116.95	0.72	35	40.93	4613																	
6588000002695146	AMARILLO AREA BAR ASSOCIATION	3	330.00	4.95	1.50	35	1.73	2008																	
6588000002406908	Amarillo High School Amarillo ISD	19	129.81	33.43	25.75	35	11.70	2006																	
6588000002437424	Amarillo ISD AHS Food Service	18	54.25	3.94	7.26	35	1.38	2006																	
6588000002437440	Amarillo ISD Caprock High School Food Service	276	970.90	23.89	2.46	35	8.36	2006																	
6588000002437507	Amarillo ISD Palo Duro Food Service	0	0.00	2.65	0.00	35	0.93	2006																	
6588000002437051	Amarillo ISD Tascosa High Food Service	52	163.65	6.46	3.95	35	2.26	2006																	
6588000002788842	AMTECH	0	0.00	11.65	0.00	35	4.08	2006																	
6588000002516185	ARKANSAS SELECT TAX SERVICES	1	62.00	14.81	23.89	35	5.18	1210																	
6588000002516151	ARKANSAS SELECT TAX SERVICES, INC.	15	4003.00	32.20	0.80	35	11.27	1210																	
6588000002482180	ASHFORD AUTO DETAIL	1	753.93	33.16	4.40	35	11.61	1315																	
6588000002406882	Athletic Building Amarillo ISD	115	12065.85	-48.22	-0.40	35	-16.88	2006																	
6588000002534683	BEN AUTO TECHNICIAN	11	2902.22	57.38	1.98	35	20.08	4108																	
6588000002535292	BIG PINE FLOWER SHOP	15	2437.43	59.28	2.43	35	20.75	4004																	
6588000002435956	BLU SUSHI	0	0.00	12.51	0.00	35	4.38	4017																	
6588000002418804	Blue Martini Galleria	0	0.00	48.58	0.00	35	17.00	4614																	
6588000002406916	Caprock High School Amarillo ISD	22	137.78	35.08	25.46	35	12.28	2006																	
6588000002765600	COFFEY TIRE & BRAKE INC CLOSED	0	0.00	2.65	0.00	35	0.93	1001																	
6588000002843258	COMBUSTION DRIVEN REPAIRS	0	0.00	32.44	0.00	35	11.35	4007																	
6588000002495737	CONWAY COLLISION CENTER	48	94643.63	235.75	0.25	35	82.51	1010																	
6588000002306322	DIVERSITY MRI	33	3317.13	38.56	1.16	35	13.50	4604																	
6588000002763316	E & A WORKS WELDING LLC	12	10178.33	119.97	1.18	35	41.99	4507																	
6588000002563492	EL JALISCO WEWAHITCHKA INC	1201	54220.75	191.23	0.35	35	66.93	4229																	
6588000002758621	ENDLESS LAND MANAGEMENT	0	0.00	34.83	0.00	35	12.19	4007																	
6588000002580264	EZ ROLL CASTERS INC.	1	73.60	51.67	70.20	35	18.08	1001																	
6588000002728798	FAULKNER COUNTY ANIMAL COALITION INC	15	1652.10	60.13	3.64	35	21.05	1011																	
6588000002530889	FIVE BROTHERS TWO	2925	63933.68	289.33	0.45	35	101.27	4007																	
6588000002802346	FLEET CONCRETE INC.	0	0.00	12.64	0.00	35	4.42	4705																	
6588000002465011	FLORIDA CARPENTERS REGIONAL COUNCIL	9	460.14	66.14	14.37	35	23.15	4602																	
6588000002711158	GARDENING ANGEL NURSERY	187	168030.64	318.41	0.19	35	111.44	4605																	
6588000002372241	Great Events Catering	6	37493.70	547.60	1.46	35	191.66	4007																	
6588000002533651	HAYES MARINE SERVICE LLC	5	2090.72	84.90	4.06	35	29.72	4212																	
6588000002272839	HORIZON SOUTH	463	35180.00	168.83	0.48	35	59.09	9033																	
6588000001994169	ISLAMORADA CHAMBER OF COMMERCE	0	0.00	15.30	0.00	35	5.36	4003																	
6588000002283364	ISLAND SHORES ASSOCIATION INC.	32	139.50	26.77	19.19	35	9.37	5001																	
6588000002854248	JOHN P SHELDON OD PA	34	6902.42	46.68	0.68	35	16.34	4007																	
6588000002572964	KENNY STRANGE ELECTRIC AND SERVICE COMPANY, INC.	33	21056.70	115.53	0.55	35	40.44	4205																	
6588000002786606	KNOX'S CRANE SERVICE LLC	0	0.00	26.10	0.00	35	9.14	4212																	
6588000002573053	LANGFORD TREE SERVICE LLC	0	0.00	21.60	0.00	35	7.56	5006																	
6588000002741502	LEAD APRON CATERING LLC	696	13993.76	202.20	1.44	35	70.77	1301																	
6588000002482990	LEMLEY FUNERAL SERVICES, INC.	2	3932.99	76.46	1.94	35	26.76	1403																	
6588000002119642	LOW KEY FISHERIES	1245	71917.62	1267.42	1.76	35	443.60	4003																	
6588000002481430	NADA MARKET	3370	32148.11	430.46	1.34	35	150.66	4614																	
6588000002572543	NANCY SMITH PHILLIPS	4	95.00	22.30	23.47	35	7.81	4239																	
6588000002870285	NOKOMIS AUTO CENTER	6	3246.73	-39.28	-1.21	35	-13.75	4715																	
6588000002331049	NUTRITION CONNECTION BALANCE	148	89335.43	723.98	0.81	35	253.39	4212																	
6588000002406940	Palo Duro High School AISD	22	179.79	34.61	19.25	35	12.11	2006																	
6588000002693984	PRECIDENT - AR	58	80949.48	603.75	0.75	35	211.31	1510																	
6588000002698215	PRECIDENT - LARGO FL	32	35225.60	274.82	0.78	35	96.19	1510																	
6588000002698223	PRECIDENT - ST PETE FL	0	0.00	21.60	0.00	35	7.56	1510																	
6588000002544898	PREVENTIVE CARDIOLOGY	237	19053.77	27.09	0.14	35	9.48	4601																	
6588000002444693	RELIABLE JET MAINTENANCE	11	29269.53	162.11	0.55	35	56.74	4603																	
6588000002510402	RIB CRIB	2759	133385.08	111.44	0.08	35	39.00	1120																	
6588000002448298	Richard Weylman, Inc	1	10000.00	146.14	1.46	35	51.15	4603																	
6588000002881308	RICKEYS RESTAURANT & SPORTS BAR	4049	229232.56	902.95	0.39	35	316.03	4606																	
6588000002318657	SCHAIN AND COMPANY, CPAS	6	5675.00	43.44	0.77	35	15.20	4605																	
6588000002548436	SITN IN THE KEYS	23	10537.85	196.78	1.87	35	68.87	4007																	
6588000002401479	Solomon Center	0	0.00	42.66	0.00	35	14.93	1210																	
6588000002406833	Tascosa High Amarillo ISD	39	273.61	45.88	16.77	35	16.06	2006																	
6588000002132702	THE MOTORCOACH STORE	0	0.00	23.89	0.00	35	8.36	4007																	
6588000002315281	TOBACCO HAVEN	4977	127432.95	593.27	0.47	35	207.64	1309																	
6588000002278513	TOBACCO HAVEN	4748	132296.98	406.56	0.31	35	142.30	1309																	
6588000002387512	True Builders Inc.	29	46908.95	470.17	1.00	35	164.56	4510																	
6588000002139517	TTT MEATS	693	11372.29	182.46	1.60	35	63.86	2021																	
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
