Merchant Id	Merchant Name	Transaction	Sales Amount	Net	BPS	%	Agent Net	Branch ID	
6588000002455723	A-1 CHIMNEY PRO, INC.	0	0.00	25.83	0.00	35	9.04	1001	
6588000002700330	A1 SECURITY SUPPLY INC	0	0.00	4.00	0.00	35	1.40	4616	
6588000002375111	Acunto Landscape & Design	20	4779.38	118.19	2.47	35	41.37	4011	
6588000002406122	AISD DIck Bivins Stadium	773	10672.27	450.62	4.22	35	157.72	2006	
6588000002578847	ALL FIRE SERVICES, INC	71	150674.98	337.96	0.22	35	118.29	4606	
6588000002730770	ALL RITE PAVING CONTRACTORS	16	40416.86	200.83	0.50	35	70.29	4613	
6588000002695146	AMARILLO AREA BAR ASSOCIATION	0	0.00	-5.40	0.00	35	-1.89	2008	
6588000002406908	Amarillo High School Amarillo ISD	157	1298.44	114.82	8.84	35	40.19	2006	
6588000002437424	Amarillo ISD AHS Food Service	72	242.20	8.19	3.38	35	2.87	2006	
6588000002437440	Amarillo ISD Caprock High School Food Service	347	1152.80	15.96	1.38	35	5.59	2006	
6588000002437507	Amarillo ISD Palo Duro Food Service	0	0.00	2.65	0.00	35	0.93	2006	
6588000002437051	Amarillo ISD Tascosa High Food Service	151	501.45	14.02	2.80	35	4.91	2006	
6588000002788840	AMTECH	704	2912.25	-30.95	-1.06	35	-10.83	2006	
6588000002507275	APALACHEE BACKHOE & SEPTIC TANK, LLC	0	0.00	17.14	0.00	35	6.00	4227	
6588000002516185	ARKANSAS SELECT TAX SERVICES	1	1015.00	32.73	3.22	35	11.46	1210	
6588000002516151	ARKANSAS SELECT TAX SERVICES, INC.	7	1479.00	31.75	2.15	35	11.11	1210	
*6588000002482180	ASHFORD AUTO DETAIL	0	0.00	21.20	0.00	35	7.42	1315	
6588000002406882	Athletic Building Amarillo ISD	8	136.92	25.65	18.73	35	8.98	2006	
6588000002585214	BEACH RV LLC	40	22159.11	172.36	0.78	35	60.33	4203	
6588000002534683	BEN AUTO TECHNICIAN	5	1263.45	41.25	3.26	35	14.44	4108	
6588000002535292	BIG PINE FLOWER SHOP	16	3982.69	63.10	1.58	35	22.09	4004	
6588000002435956	BLU SUSHI	2113	160933.22	1873.78	1.16	35	655.82	4017	
6588000002418804	Blue Martini Galleria	3207	235464.95	326.89	0.14	35	114.41	4614	
6588000002406916	Caprock High School Amarillo ISD	59	514.45	56.13	10.91	35	19.65	2006	
6588000002765600	COFFEY TIRE & BRAKE INC	184	63695.50	183.18	0.29	35	64.11	1001	
6588000002518579	COMPANIONS CLOTHIER	65	20854.72	103.51	0.50	35	36.23	1210	
6588000002495737	CONWAY COLLISION CENTER	51	87194.32	212.09	0.24	35	74.23	1010	
6588000002569093	DATA CORE CLOUD, INC	0	0.00	57.60	0.00	35	20.16	1213	
6588000002306322	DIVERSITY MRI	5	960.00	20.15	2.10	35	7.05	4604	
6588000002763316	E & A WORKS WELDING LLC	4	1590.00	-19.63	-1.23	35	-6.87	4507	
6588000002563492	EL JALISCO WEWAHITCHKA INC	1137	50470.00	181.40	0.36	35	63.49	4229	
6588000002758621	ENDLESS LAND MANAGEMENT	1	4128.80	35.50	0.86	35	12.43	4007	
6588000002580264	EZ ROLL CASTERS INC.	1	444.14	52.47	11.81	35	18.36	1001	
6588000002728798	FAULKNER COUNTY ANIMAL COALITION INC	0	0.00	12.60	0.00	35	4.41	1011	
6588000002530889	FIVE BROTHERS TWO	2738	60222.86	263.94	0.44	35	92.38	4007	
6588000002465011	FLORIDA CARPENTERS REGIONAL COUNCIL	10	491.18	56.66	11.54	35	19.83	4602	
6588000002711158	GARDENING ANGEL NURSERY	252	126487.21	279.30	0.22	35	97.76	4605	
6588000002372241	Great Events Catering	64	73481.39	798.93	1.09	35	279.63	4007	
6588000002533651	HAYES MARINE SERVICE LLC	1	3010.20	90.56	3.01	35	31.70	4212	
6588000002272839	HORIZON SOUTH	66	4985.00	49.53	0.99	35	17.34	9033	
6588000001994169	ISLAMORADA CHAMBER OF COMMERCE	0	0.00	15.30	0.00	35	5.36	4003	
6588000002283364	ISLAND SHORES ASSOCIATION INC.	28	121.00	25.40	20.99	35	8.89	5001	
6588000002731842	JAMES MARTIN MEMORIAL BENEFIT	0	0.00	18.94	0.00	35	6.63	1112	
6588000002205862	KAYAK KINGS OF KEY WEST	0	0.00	39.69	0.00	35	13.89	4007	
6588000002572964	KENNY STRANGE ELECTRIC AND SERVICE COMPANY, INC.	18	25904.45	138.87	0.54	35	48.60	4205	
6588000002786600	KNOX'S CRANE SERVICE LLC	0	0.00	3.30	0.00	35	1.16	4212	
6588000002573053	LANGFORD TREE SERVICE LLC	0	0.00	21.60	0.00	35	7.56	5006	
6588000002741502	LEAD APRON CATERING LLC	417	10806.13	145.69	1.35	35	50.99	1301	
6588000002482990	LEMLEY FUNERAL SERVICES, INC.	5	2472.88	47.33	1.91	35	16.57	1403	
6588000002119642	LOW KEY FISHERIES	740	57944.25	903.57	1.56	35	316.25	4003	
6588000002481430	NADA MARKET	3334	30340.08	386.31	1.27	35	135.21	4614	
6588000002282952	NAIL STUDIO KEY WEST	0	0.00	30.24	0.00	35	10.58	4007	
6588000002572543	NANCY SMITH PHILLIPS	17	650.00	16.58	2.55	35	5.80	4239	
6588000002428068	No Weeds Lawn Care Inc.	0	0.00	-23.40	0.00	35	-8.19	4510	
6588000002331049	NUTRITION CONNECTION BALANCE	124	69827.31	549.41	0.79	35	192.29	4212	
6588000002406940	Palo Duro High School AISD	76	771.24	66.24	8.59	35	23.18	2006	
6588000002693984	PRECIDENT - AR	102	146952.94	1079.61	0.73	35	377.86	1510	
6588000002698215	PRECIDENT - LARGO FL	71	36995.05	291.98	0.79	35	102.19	1510	
6588000002698223	PRECIDENT - ST PETE FL	60	33690.86	266.87	0.79	35	93.40	1510	
6588000002544898	PREVENTIVE CARDIOLOGY	272	21066.67	30.71	0.15	35	10.75	4601	
6588000002444693	RELIABLE JET MAINTENANCE	17	76782.01	324.59	0.42	35	113.61	4603	
6588000002510402	RIB CRIB	2755	127435.03	110.79	0.09	35	38.78	1120	
6588000002448298	Richard Weylman, Inc	1	500.00	62.05	12.41	35	21.72	4603	
6588000002318657	SCHAIN AND COMPANY, CPAS	1	600.00	29.61	4.94	35	10.36	4605	
6588000002548436	SITN IN THE KEYS	12	5149.09	123.41	2.40	35	43.19	4007	
6588000002401479	Solomon Center	0	0.00	33.66	0.00	35	11.78	1210	
6588000002523710	SOUTHERNMOST BOAT RENTALS	0	0.00	21.33	0.00	35	7.47	4004	
6588000002406833	Tascosa High Amarillo ISD	103	841.97	84.11	9.99	35	29.44	2006	
6588000002132702	THE MOTORCOACH STORE	37	188216.48	1530.93	0.81	35	535.83	4007	
6588000002315281	TOBACCO HAVEN	4796	117735.61	557.60	0.47	35	195.16	1309	
6588000002278513	TOBACCO HAVEN	4374	117963.79	379.13	0.32	35	132.70	1309	
6588000002387512	True Builders Inc.	28	47027.82	671.25	1.43	35	234.94	4510	
6588000002139517	TTT MEATS	546	10149.52	144.48	1.42	35	50.57	2021	
6588000001964857	ZEPHYRHILLS NEWS CLOSED	2	2808.36	14.33	0.51	35	5.02	4605	
									
				14438.00					
