Merchant Id,Merchant DBA,Payout Amount,Volume,Sales,Refunds,Reject Amount,Bank Split,Bank Payout,Branch ID
11500,"Allied Compliance Services, Inc. - Hurst",14.85,1093,14,,,35%,5.2,1001
11499,"Allied Compliance Services, Inc. - Lubbock",21.14,3475,10,,,35%,7.4,1001
10801,"Apalachee Backhoe & Septic, LLC",-8.77,0,0,,,35%,-3.07,4227
11520,Ashford Park Property Owners Association,-7.72,670,2,,,35%,-2.7,5004
10647,BAK Tire Inc Leachville,19.16,698.23,6,,,35%,6.71,1313
10648,BAK Tire Inc Marked Tree,98.76,7671.91,43,,,35%,34.57,1313
12010,Ben's Beach Homes,-6.36,0,0,,,35%,-2.23,4205
11261,Bill's Automotive Repair,35.92,1769.46,5,,,35%,12.57,1001
11640,Bizav Support LLC,183.43,141927.47,23,,,35%,64.2,4604
10516,Brockinton Auto Sales,-1.77,0,0,,,35%,-0.62,1110
11127,Cabins at Seven Foxes,57.14,11427.19,11,,,35%,20,4606
11797,CCM Septic Service LLC,19.18,3105,1,,,35%,6.71,4205
10564,Champ Hinton Used Cars,62.7,17968.94,53,,,35%,21.95,1001
11736,"Chef Blends, Inc.",7.23,0,0,,,35%,2.53,4403
10264,Closet Envy,198.16,92253.27,20,,,35%,69.36,4707
12172,Companions Clothier,3.23,0,0,,,35%,1.13,1210
10843,Diesel Barn LLC,7.23,0,0,,,35%,2.53,4220
11971,Don's Supply,73.22,142389.69,436,,,35%,25.63,1210
11288,Elite Auto Group,1199.71,57273,21,,,35%,419.9,1112
11752,Encore at Lewis Ranch - Escrow,25.96,1169.89,2,,,35%,9.09,1001
11751,Encore at Lewis Ranch - Operating,74.61,3199.41,5,,,35%,26.11,1001
10397,FACES,41.02,15247.17,85,,,35%,14.36,1001
11208,FL Comm Fishermens Assoc,-9.62,0,0,,,35%,-3.37,4004
11726,"G C MECHANICAL SERVICES , CORP",3.23,0,0,,,35%,1.13,4001
11306,"Grinder Law Firm, P.A.",18.23,0,0,,,35%,6.38,1010
11263,Hydes Rescreening INC.,128.34,45815.56,37,,,35%,44.92,4605
12270,Indian Pass Raw Bar,7.23,0,0,,,35%,2.53,4212
11434,Jims Auto Machine Shop,368,22782.16,56,,,35%,128.8,1315
10812,JoJo's Catfish Wharf,675.26,106424.26,1923,,,35%,236.34,1117
10650,JONES IRRIGATION INSTALLATION & REPAIR,67.91,5728.42,13,,,35%,23.77,1313
11862,KFS2 LLC,6.23,0,0,,,35%,2.18,4007
11565,Lance For Land,6.23,0,0,,,35%,2.18,1202
11857,Mountain View Custom Butcher,101.04,5625.93,20,,,35%,35.36,1118
11835,Municipal Health,46.25,1805.23,6,,,35%,16.19,1210
12049,Pelican Printing Co.,19.71,3959.51,5,,,35%,6.9,4239
11706,Pierogi Polish Market,38.37,17883.78,478,,,35%,13.43,4007
11240,Providence Cattle Company,26.43,0,0,,,35%,9.25,4705
11657,Quiet Technology Aerospace Inc.,11.23,0,0,,,35%,3.93,4604
12182,Quincy Alignment & Brake,36.56,15523.87,162,,,35%,12.8,4303
10306,RED Hospitality Transportation,-8.77,0,0,,,35%,-3.07,4007
10748,Sallie,74.93,21297.42,100,,,35%,26.23,5005
12012,Stone Specialists LLC,22.23,0,0,,,35%,7.78,4001
11209,Superior Success,10.23,0,0,,,35%,3.58,1214
11727,The Finishing Touch of North Florida LLC,6.23,0,0,,,35%,2.18,4302
11820,The Flower Shop in Apalach,16.15,1947.82,18,,,35%,5.65,4201
11970,"The Renaissance I Association, Inc.",3.64,155.99,1,,,35%,1.27,4709
11227,True Timeshare Realty LLC,18.38,2699,1,,,35%,6.43,4508
11768,Turner Eye Clinic,-1.77,0,0,,,35%,-0.62,1110
