Merchant Id,Merchant DBA,Payout Amount,Volume,Sales,Refunds,Reject Amount,Bank Split,Bank Payout,Branch ID
11500,"Allied Compliance Services, Inc. - Hurst",14.68,861.01,17,,,0.35,5.14,1001
11499,"Allied Compliance Services, Inc. - Lubbock",17.18,1959,11,,,0.35,6.01,1001
10801,"Apalachee Backhoe & Septic, LLC",-8.77,0,0,,,0.35,-3.07,4227
11520,Ashford Park Property Owners Association,-2.77,2265,7,,,0.35,-0.97,5004
10647,BAK Tire Inc Leachville,70.86,653.54,3,,,0.35,24.8,1313
10648,BAK Tire Inc Marked Tree,147.5,9848.26,33,,,0.35,51.63,1313
11261,Bill's Automotive Repair,12.98,201.83,1,,,0.35,4.54,1001
11640,Bizav Support LLC,233.76,112363.83,25,,,0.35,81.82,4604
10516,Brockinton Auto Sales,-1.77,0,0,,,0.35,-0.62,1110
11127,Cabins at Seven Foxes,11.23,0,0,,,0.35,3.93,4606
11797,CCM Septic Service LLC,77.33,18246.01,2,,,0.35,27.07,4205
10564,Champ Hinton Used Cars,55.94,15577.91,49,,,0.35,19.58,1001
11736,"Chef Blends, Inc.",7.23,0,0,,,0.35,2.53,4403
10264,Closet Envy,243.36,78526.24,21,,,0.35,85.18,4707
10843,Diesel Barn LLC,7.23,0,0,,,0.35,2.53,4220
11971,Don's Supply,102.64,134278.49,398,,,0.35,35.92,1210
11288,Elite Auto Group,1236.09,55006,13,,,0.35,432.63,1112
11752,Encore at Lewis Ranch - Escrow,71.19,2729.75,4,,,0.35,24.92,1001
11751,Encore at Lewis Ranch - Operating,49.84,1636.7,5,,,0.35,17.44,1001
10397,FACES,63.38,21879.67,113,,,0.35,22.18,1001
11208,FL Comm Fishermens Assoc,-17.14,0,0,,,0.35,-6,4004
10680,FrankBurg Vintage,-6.36,0,0,,,0.35,-2.23,4018
11726,"G C MECHANICAL SERVICES , CORP",3.23,0,0,,,0.35,1.13,4001
11306,"Grinder Law Firm, P.A.",27.98,2500,1,,,0.35,9.79,1010
11263,Hydes Rescreening INC.,111.06,39195,38,,,0.35,38.87,4605
11434,Jims Auto Machine Shop,385.02,24426.79,49,,,0.35,134.76,1315
10812,JoJo's Catfish Wharf,528.08,82602.28,1556,,,0.35,184.83,1117
10650,JONES IRRIGATION INSTALLATION & REPAIR,50.78,3048.21,4,,,0.35,17.77,1313
11862,KFS2 LLC,9.06,465.76,1,,,0.35,3.17,4007
11565,Lance For Land,6.23,0,0,,,0.35,2.18,1202
11857,Mountain View Custom Butcher,41.62,1892.42,7,,,0.35,14.57,1118
11835,Municipal Health,25.76,1075.12,3,,,0.35,9.02,1210
12049,Pelican Printing Co.,13.9,2115.92,3,,,0.35,4.87,4239
11706,Pierogi Polish Market,36.59,18006.19,508,,,0.35,12.81,4007
11240,Providence Cattle Company,26.43,0,0,,,0.35,9.25,4705
11657,Quiet Technology Aerospace Inc.,11.23,0,0,,,0.35,3.93,4604
10306,RED Hospitality Transportation,-8.77,0,0,,,0.35,-3.07,4007
10748,Sallie,127.48,39450.2,122,,,0.35,44.62,5005
12012,Stone Specialists LLC,22.51,20,1,,,0.35,7.88,4001
11209,Superior Success,10.23,0,0,,,0.35,3.58,1214
11727,The Finishing Touch of North Florida LLC,6.23,0,0,,,0.35,2.18,4302
11820,The Flower Shop in Apalach,34.73,5917.86,56,,,0.35,12.16,4201
11970,"The Renaissance I Association, Inc.",2.23,0,0,,,0.35,0.78,4709
11227,True Timeshare Realty LLC,36.56,4529,2,,,0.35,12.8,4508
11768,Turner Eye Clinic,-1.77,0,0,,,0.35,-0.62,1110
