Merchant ID,Merchant Name,Payout Amount,Volume,Sales,Refunds,Reject Amount,Bank Split,Bank Payout,Branch Number
10801,"Apalachee Backhoe & Septic, LLC",-$8.77,$0.00,$0.00,,,0.35,  (3.07),4227
10647,BAK Tire Inc Leachville,$10.23,$0.00,$0.00,,,0.35,  3.58 ,1313
10648,BAK Tire Inc Marked Tree,$145.94,"$7,967.52",$38.00,,,0.35,  51.08 ,1313
10516,Brockinton Auto Sales,-$1.77,$0.00,$0.00,,,0.35,  (0.62),1110
10564,Champ Hinton Used Cars,$105.39,"$29,687.48",$100.00,,,0.35,  36.89 ,1001
10264,Closet Envy,$179.85,"$62,861.70",$15.00,,,0.35,  62.95 ,4707
10611,CNC Parts,$23.49,$0.00,$0.00,,,0.35,  8.22 ,1001
10410,CS Billing and Processing,-$9.36,$0.00,$0.00,,,0.35,  (3.28),4614
10843,Diesel Barn LLC,$7.23,$0.00,$0.00,,,0.35,  2.53 ,4220
10397,FACES,$87.34,"$25,886.30",$115.00,,,0.35,  30.57 ,1001
10680,FrankBurg Vintage,$11.60,$14.83,$2.00,,,0.35,  4.06 ,4018
10821,Inspection Consultant Group,$16.83,$530.45,$1.00,,,0.35,  5.89 ,2004
10812,JoJo's Catfish Wharf,$570.18,"$89,112.34","$1,698.00",,,0.35,  199.56 ,1117
10650,JONES IRRIGATION INSTALLATION & REPAIR,$64.05,"$4,998.10",$7.00,,,0.35,  22.42 ,1313
10950,Macs Towing Service Inc,$43.23,$0.00,$0.00,,,0.35,  15.13 ,1001
10943,Prana Spa,$10.23,$0.00,$0.00,,,0.35,  3.58 ,4007
9889,Real Deal Auto Plus LLC,$6.23,$0.00,$0.00,,,0.35,  2.18 ,1313
10306,RED Hospitality Transportation,-$8.77,$0.00,$0.00,,,0.35,  (3.07),4007
10748,Sallie,$8.59,$438.63,$3.00,,,0.35,  3.01 ,5005
10644,"Wood-Chuck Workshop, Inc.",$6.23,$0.00,$0.00,,,0.35,  2.18 ,4107
10645,"Woodchip Marine Lumber & Supplies, Inc.",$6.23,$0.00,$0.00,,,0.35,  2.18 ,4107
