id,merchant_id,dba_name,partner_branch_number,status,status_category,current_processor,created_at,updated_at,tenant_id
2875,LEAD-136VLM15,Central AR Fishers of Men Ministries,1405,Future Follow Up,Not Yet Interested,,2025-11-01 19:44:35.06952,2025-11-01 19:44:35.06952,1
60,11780,Lionheart Roofing,,Switched To Software Vendor,Merchant Cancelled,TRX,2025-10-31 06:55:17.163296,2025-11-14 14:37:42.773,1
1245,LEAD-I9V93H77,Osprey Amoco,4507,Buried - No Reason Specified,Dead End,,2025-10-31 12:27:49.715371,2025-10-31 12:27:49.715371,1
4,3286747348353090,"RAINTIGHT ROOFING, INC",1206,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:12.346221,2025-11-01 19:49:29.172,1
49,22613339,Going Coastal Deli LLC,,Merchant Is Live,Boarding,Shift4,2025-10-31 06:55:16.150274,2025-11-14 14:37:41.137,1
1246,LEAD-IZ1TS1U7,Mobile Atwater,4507,Buried - No Reason Specified,Dead End,,2025-10-31 12:27:49.79741,2025-10-31 12:27:49.79741,1
5,12301,DyerMark,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:12.432361,2025-11-14 14:37:39.845,1
36,815217512889,Valet Park of America 1,4621,Equipment Programming,Boarding,MiCamp,2025-10-31 06:55:15.049392,2025-11-14 14:37:32.569,1
9,3286747814027930,Yeager  Enterprises,4506,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:12.778261,2025-11-01 19:49:30.592,1
10,3286747882317290,Baker Ambulatory Surgery Center,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:12.863101,2025-11-01 19:49:31.043,1
21,498467507881,Flodraulic Group,,VAR Provided,Boarding,MiCamp,2025-10-31 06:55:13.788462,2025-11-14 14:37:39.154,1
12,3286747758055480,"INNOVATIVE DIRECT MARKETING, LLC",1210,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:13.032852,2025-11-01 19:49:31.491,1
3,815221809883,CHRIS CRAIN CHRYSLER DOD,,Merchant Is Live,Boarding,MiCamp - FSP,2025-10-31 06:55:12.258913,2025-11-14 14:37:41.915,1
17,5482983600022390,"Roberson & Associates, PA",,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:13.453038,2025-11-14 14:37:37.072,1
15,497250915889,Lykins Signtek,,Merchant Is Live,Boarding,Paybright - FD North/ Nashville,2025-10-31 06:55:13.285854,2025-11-14 14:37:36.985,1
20,12609,Dennis and Sons LLC,4232,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:13.704847,2025-11-14 14:37:37.341,1
18,3286747948376190,Green Beret Guns and Ammo,,Merchant Is Live,Boarding,PayBright,2025-10-31 06:55:13.536382,2025-11-01 19:49:32.39,1
22,12533,"Dream Flooring World, Inc",1507,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:13.872679,2025-11-14 14:37:36.727,1
29,22678076,Up 4 Breakfast- Barclay Crossing,4507,Equipment Shipped,Boarding,Shift 4,2025-10-31 06:55:14.462151,2025-11-14 14:37:37.688,1
6,497250831888,Clock Medical Supply Jackson,,VAR Provided,Boarding,Paybright - FD North/ Nashville,2025-10-31 06:55:12.524999,2025-11-14 14:37:39.327,1
16,497250894886,Clock Medical Supply - Ecommerce acct,,Merchant Is Live,Boarding,Paybright - FD North/ Nashville,2025-10-31 06:55:13.369546,2025-11-14 14:37:36.898,1
28,815218783885,Valet Park of America 2,,Merchant Is Live,Boarding,MiCamp,2025-10-31 06:55:14.377962,2025-11-14 14:37:35.17,1
23,22697738,DRAGON & ROOSTER CORP,4007,Merchant Is Live,Boarding,S4,2025-10-31 06:55:13.956761,2025-11-14 14:37:35.084,1
24,12370,Conway Psychological Assessment,1002,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:14.040462,2025-11-14 14:37:34.304,1
41,11786,Creative Care Pharmacy,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:15.472481,2025-11-14 14:37:31.262,1
58,11839,Platinum Cookware New Prime System Intl,,Merchant Is Live,Boarding,TRX,2025-10-31 06:55:16.910491,2025-11-14 14:37:28.758,1
