id,merchant_id,merchant_name,month,processor,branch_id,sales_amount,transactions,net,commission_percent,partner_net,payout_amount,volume,sales,refunds,reject_amount,bank_split,bank_payout,income,expenses,partner_branch_number,status,status_category,expected_processor,created_at,tenant_id,agent_net
10067,10397,FACES,2024-05,TRX,1001,,,,,3.18,,,,,,0.35,3.18,,,,,,,2025-10-29 00:59:25.80702,1,
10068,10306,RED Hospitality Transportation,2024-05,TRX,4007,,,,,-7.48,,,,,,0.35,-7.48,,,,,,,2025-10-29 00:59:25.89459,1,
10069,9889,Real Deal Auto Plus LLC,2024-05,TRX,1112,,,,,42.87,,,,,,0.35,42.87,,,,,,,2025-10-29 00:59:25.937581,1,
10070,10264,Closet Envy,2024-05,TRX,4707,,,,,53.41,,,,,,0.35,53.41,,,,,,,2025-10-29 00:59:25.980776,1,
10071,10410,CS Billing and Processing,2024-05,TRX,4614,,,,,-2.87,,,,,,0.35,-2.87,,,,,,,2025-10-29 00:59:26.022342,1,
10072,10397,FACES,2024-06,TRX,1001,,,,,3.18,,,,,,0.35,3.18,,,,,,,2025-10-29 00:59:26.06536,1,
10073,10306,RED Hospitality Transportation,2024-06,TRX,4007,,,,,-7.48,,,,,,0.35,-7.48,,,,,,,2025-10-29 00:59:26.108139,1,
10074,9889,Real Deal Auto Plus LLC,2024-06,TRX,1112,,,,,42.87,,,,,,0.35,42.87,,,,,,,2025-10-29 00:59:26.150784,1,
10075,10264,Closet Envy,2024-06,TRX,4707,,,,,53.41,,,,,,0.35,53.41,,,,,,,2025-10-29 00:59:26.19375,1,
10076,10410,CS Billing and Processing,2024-06,TRX,4614,,,,,-2.87,,,,,,0.35,-2.87,,,,,,,2025-10-29 00:59:26.236349,1,
10077,10647,BAK Tire Inc Leachville,2024-07,TRX,1313,0,,,,3.13,8.95,0,0,,,0.35,3.13,,,,,,,2025-10-29 00:59:26.279325,1,
10078,10648,BAK Tire Inc Marked Tree,2024-07,TRX,1313,0,,,,3.13,8.95,0,0,,,0.35,3.13,,,,,,,2025-10-29 00:59:26.324055,1,
10079,10516,Brockinton Auto Sales,2024-07,TRX,1110,55,,,,135.16,386.17,20278.13,55,,,0.35,135.16,,,,,,,2025-10-29 00:59:26.367135,1,
10080,10564,Champ Hinton Used Cars,2024-07,TRX,1001,54,,,,22.42,64.05,21569.92,54,,,0.35,22.42,,,,,,,2025-10-29 00:59:26.409531,1,
10081,10264,Closet Envy,2024-07,TRX,4707,7,,,,23.99,68.55,19975.28,7,,,0.35,23.99,,,,,,,2025-10-29 00:59:26.452747,1,
10082,10410,CS Billing and Processing,2024-07,TRX,4614,0,,,,-2.87,-8.19,0,0,,,0.35,-2.87,,,,,,,2025-10-29 00:59:26.495035,1,
10083,10397,FACES,2024-07,TRX,1001,93,,,,18.92,54.07,18107.55,93,,,0.35,18.92,,,,,,,2025-10-29 00:59:26.536333,1,
10084,10680,FrankBurg Vintage,2024-07,TRX,4018,0,,,,3.62,10.35,0,0,,,0.35,3.62,,,,,,,2025-10-29 00:59:26.579055,1,
10085,10650,JONES IRRIGATION INSTALLATION & REPAIR,2024-07,TRX,1313,0,,,,3.13,8.95,0,0,,,0.35,3.13,,,,,,,2025-10-29 00:59:26.622406,1,
10086,9889,Real Deal Auto Plus LLC,2024-07,TRX,1313,0,,,,1.91,5.45,0,0,,,0.35,1.91,,,,,,,2025-10-29 00:59:26.664569,1,
10087,10306,RED Hospitality Transportation,2024-07,TRX,4007,1,,,,-2.35,-6.71,51.6,1,,,0.35,-2.35,,,,,,,2025-10-29 00:59:26.707915,1,
10088,10644,"Wood-Chuck Workshop, Inc.",2024-07,TRX,4107,0,,,,1.91,5.45,0,0,,,0.35,1.91,,,,,,,2025-10-29 00:59:26.750367,1,
10089,10645,"Woodchip Marine Lumber & Supplies, Inc.",2024-07,TRX,4107,0,,,,1.91,5.45,0,0,,,0.35,1.91,,,,,,,2025-10-29 00:59:26.793562,1,
10090,10801,"Apalachee Backhoe & Septic, LLC",2024-08,TRX,4227,,,,,,,,,,,0.35,,,,,,,,2025-10-29 00:59:26.835639,1,
10091,10647,BAK Tire Inc Leachville,2024-08,TRX,1313,1,,,,3.72,10.62,28.35,1,,,0.35,3.72,,,,,,,2025-10-29 00:59:26.878247,1,
10092,10648,BAK Tire Inc Marked Tree,2024-08,TRX,1313,15,,,,17.62,50.34,2625.64,15,,,0.35,17.62,,,,,,,2025-10-29 00:59:26.920506,1,
10093,10516,Brockinton Auto Sales,2024-08,TRX,1110,5,,,,16.44,46.98,1949.82,5,,,0.35,16.44,,,,,,,2025-10-29 00:59:26.963148,1,
10094,10564,Champ Hinton Used Cars,2024-08,TRX,1001,111,,,,40.98,117.08,36872.9,111,,,0.35,40.98,,,,,,,2025-10-29 00:59:27.006056,1,
10095,10264,Closet Envy,2024-08,TRX,4707,12,,,,75.95,217,89089.93,12,,,0.35,75.95,,,,,,,2025-10-29 00:59:27.048857,1,
10096,10410,CS Billing and Processing,2024-08,TRX,4614,,,,,,,,,,,0.35,,,,,,,,2025-10-29 00:59:27.092057,1,
10097,10843,Diesel Barn LLC,2024-08,TRX,4220,,,,,2.53,7.23,,,,,0.35,2.53,,,,,,,2025-10-29 00:59:27.133482,1,
10098,10397,FACES,2024-08,TRX,1001,109,,,,24.5,70.01,20218,109,,,0.35,24.5,,,,,,,2025-10-29 00:59:27.176354,1,
10099,10680,FrankBurg Vintage,2024-08,TRX,4018,,,,,4.14,11.83,,,,,0.35,4.14,,,,,,,2025-10-29 00:59:27.219169,1,
10100,10821,Inspection Consultant Group,2024-08,TRX,2004,1,,,,3.53,10.08,515,1,,,0.35,3.53,,,,,,,2025-10-29 00:59:27.261979,1,
10101,10812,JoJo's Catfish Wharf,2024-08,TRX,1117,,,,,1.13,3.23,,,,,0.35,1.13,,,,,,,2025-10-29 00:59:27.304343,1,
10102,10650,JONES IRRIGATION INSTALLATION & REPAIR,2024-08,TRX,1313,3,,,,21.93,62.66,4807.62,3,,,0.35,21.93,,,,,,,2025-10-29 00:59:27.347351,1,
10103,9889,Real Deal Auto Plus LLC,2024-08,TRX,1313,1,,,,11.07,31.62,3369.6,1,,,0.35,11.07,,,,,,,2025-10-29 00:59:27.391474,1,
10104,10306,RED Hospitality Transportation,2024-08,TRX,4007,,,,,,,,,,,0.35,,,,,,,,2025-10-29 00:59:27.433748,1,
10105,10748,Sallie,2024-08,TRX,5005,,,,,2.53,7.23,,,,,0.35,2.53,,,,,,,2025-10-29 00:59:27.475958,1,
10106,10644,"Wood-Chuck Workshop, Inc.",2024-08,TRX,4107,,,,,2.18,6.23,,,,,0.35,2.18,,,,,,,2025-10-29 00:59:27.517565,1,
10107,10645,"Woodchip Marine Lumber & Supplies, Inc.",2024-08,TRX,4107,,,,,2.18,6.23,,,,,0.35,2.18,,,,,,,2025-10-29 00:59:27.559924,1,
10108,10801,"Apalachee Backhoe & Septic, LLC",2024-10,TRX,4227,,,,,-3.07,-8.77,0,,,,0.35,-3.07,,,,,,,2025-10-29 00:59:27.602332,1,
10109,10647,BAK Tire Inc Leachville,2024-10,TRX,1313,3,,,,8.94,25.54,813.08,3,,,0.35,8.94,,,,,,,2025-10-29 00:59:27.645882,1,
