Merchant ID,Merchant Name,Sales Amount,Branch ID,Month
M101,Mountain View Café,38450.75,BR201,2024-01
M102,Valley Electronics,62890.50,BR202,2024-01
M103,Ocean Breeze Spa,45230.25,BR203,2024-01
M104,Coastal Seafood Market,78650.00,BR204,2024-01
M105,Hillside Pharmacy,41230.50,BR205,2024-01
M106,Metro Fitness Center,56780.25,BR206,2024-01
M107,Lakeside Grill,67340.00,BR207,2024-01
M108,Urban Furniture Co,83450.75,BR208,2024-01
M109,Village Market,34890.50,BR209,2024-01
M110,Summit Dental Care,52340.25,BR210,2024-01
M101,Mountain View Café,40230.50,BR201,2024-02
M102,Valley Electronics,65430.25,BR202,2024-02
M103,Ocean Breeze Spa,47890.00,BR203,2024-02
M104,Coastal Seafood Market,81230.75,BR204,2024-02
M105,Hillside Pharmacy,43670.50,BR205,2024-02
M106,Metro Fitness Center,59234.00,BR206,2024-02
M107,Lakeside Grill,70125.50,BR207,2024-02
M108,Urban Furniture Co,86780.25,BR208,2024-02
M109,Village Market,36450.75,BR209,2024-02
M101,Mountain View Café,42890.25,BR201,2024-03
M102,Valley Electronics,68230.00,BR202,2024-03
M103,Ocean Breeze Spa,50340.75,BR203,2024-03
M104,Coastal Seafood Market,84670.50,BR204,2024-03
M105,Hillside Pharmacy,46120.25,BR205,2024-03
M106,Metro Fitness Center,61890.75,BR206,2024-03
M107,Lakeside Grill,73450.25,BR207,2024-03
M108,Urban Furniture Co,90230.00,BR208,2024-03
